,0
0,6.231084716934337
1,7.223344857814979
2,5.860268714129734
3,4.334946035504125
4,3.2351413108460303
5,2.491076768269185
6,1.9914198785501276
7,1.6406045870634438
8,1.3829042564747787
9,1.187937959672869
10,1.036029917778764
11,0.9138660533223166
12,0.8130402245019909
13,0.7282913546754982
14,0.6561514363443431
15,0.594169410699743
16,0.5405071391932708
17,0.4937332764039508
18,0.4527122288635025
19,0.416534934942707
20,0.3844683112215486
21,0.35591581043449605
22,0.3303869135127805
23,0.3074740920995736
24,0.2868356052695738
25,0.2681825962203028
26,0.25126928494660966
27,0.23588540313451023
28,0.22185028364565798
29,0.20900818425164044
30,0.19722452533633644
31,0.18638279416732728
32,0.1763819362759621
33,0.16713411792343102
34,0.15856279354016173
35,0.15060104252217893
36,0.14319015225234658
37,0.1362784248830615
38,0.1298201812868523
39,0.12377493192785347
40,0.11810668391402594
41,0.11278335650591104
42,0.10777628271262389
43,0.10305978058457417
44,0.09861078295475828
45,0.09440851790633854
46,0.09043423409103292
47,0.0866709656256344
48,0.08310333127908212
49,0.07971736258700464
50,0.0765003557332919
51,0.07344074260953266
52,0.0705279773044129
53,0.06775243519912376
54,0.06510532267142022
55,0.06257859602849325
56,0.06016488867101285
57,0.05785744567903171
58,0.05565006507952182
59,0.053537045079079124
60,0.05151313657528131
61,0.04957350031854231
62,0.047713668181169136
63,0.04592950808640994
64,0.04421719223995694
65,0.04257316837702878
66,0.04099413378515048
67,0.03947701188847489
68,0.038018931190576304
69,0.036617206376707054
70,0.03526932137977683
71,0.033972914220474756
72,0.03272576344214087
73,0.031525775974474785
74,0.03037097627534356
75,0.029259496615143037
76,0.028189568382173378
77,0.027159514299766905
78,0.026167741456457217
79,0.025212735059659364
80,0.024293052831603473
81,0.023407319973994662
82,0.02255422463528639
83,0.021732513821580274
84,0.020940989698937644
85,0.020178506241171804
86,0.019443966182881918
87,0.018736318242527288
88,0.01805455458472964
89,0.01739770849478569
90,0.016764852241655703
91,0.01615509510855664
92,0.015567581572807092
93,0.015001489618805201
94,0.014456029170007545
95,0.013930440627540782
96,0.013423993504631295
97,0.012935985147399257
98,0.01246573953374072
99,0.01201260614304022
100,0.011575958890330477
101,0.011155195119271703
102,0.010749734648976444
103,0.010359018870275093
104,0.00998250988751461
105,0.009619689702419033
106,0.009270059436922344
107,0.008933138592218491
108,0.008608464341565267
109,0.008295590854631264
110,0.007994088651397297
111,0.007703543983815353
112,0.007423558243595106
113,0.007153747394636076
114,0.006893741428752403
115,0.006643183843451485
116,0.006401731140628731
117,0.006169052345131223
118,0.005944828542221752
119,0.005728752433046609
120,0.0055205279072733805
121,0.005319869632121359
122,0.00512650265705784
123,0.004940162033479486
124,0.004760592448738197
125,0.004587547873909194
126,0.004420791224731934
127,0.004260094035186534
128,0.004105236143195613
129,0.003956005387968645
130,0.003812197318529298
131,0.003673614912988532
132,0.0035400683081469714
133,0.0034113745390291616
134,0.003287357287970293
135,0.003167846642892131
136,0.0030526788644216502
137,0.0029416961615190682
138,0.0028347464752975482
139,0.0027316832707284266
140,0.0026323653359395026
141,0.002536656588824395
